d0	d7	d21
ENSMUSG00000020889	-1.15149456675141	0.501281203470263	0.650213363281149
ENSMUSG00000002289	1.15244117298565	-0.513694535077486	-0.638746637908162
ENSMUSG00000058914	-1.07090281984712	0.909450558094536	0.161452261752583
ENSMUSG00000022425	-1.14239356121243	0.716808296206052	0.425585265006382
ENSMUSG00000032291	-1.05736648013675	0.93053158834471	0.126834891792038
ENSMUSG00000003038	-0.965587883065053	1.03118251732387	-0.0655946342588175
ENSMUSG00000030074	-1.07737240885528	0.898479922380066	0.178892486475212
ENSMUSG00000047281	-1.15164595354843	0.503133924939351	0.648512028609076
ENSMUSG00000034648	-0.987920110591414	1.01165725570999	-0.0237371451185781
ENSMUSG00000059824	-1.15161835051051	0.502792868339673	0.648825482170836
ENSMUSG00000039883	-0.959269612163619	1.03627774224879	-0.077008130085171
ENSMUSG00000027996	-1.13572115424797	0.748423848154499	0.387297306093475
ENSMUSG00000037318	-0.948490042730458	1.04457385557483	-0.0960838128443709
ENSMUSG00000035385	-1.12634662522649	0.783417404204081	0.342929221022409
ENSMUSG00000023169	-1.15432352619443	0.60271362517323	0.551609901021194
ENSMUSG00000027993	1.09099269327686	-0.873064976718253	-0.217927716558614
ENSMUSG00000035373	-1.14830873480827	0.679227138245472	0.469081596562796
ENSMUSG00000020592	-1.0564860638592	0.931824371505	0.124661692354197
ENSMUSG00000041828	1.01231535083018	-0.987211958064328	-0.0251033927658579
ENSMUSG00000024900	1.15385358178547	-0.53863274630826	-0.615220835477204
ENSMUSG00000018819	-1.15205524795482	0.508377574126599	0.64367767382822
ENSMUSG00000032013	-1.12313466435872	0.793787904667823	0.329346759690897
ENSMUSG00000068747	1.02709828943579	-0.0566007582686652	-0.970497531167127
ENSMUSG00000026077	1.15105099225879	-0.496082372354995	-0.654968619903798
ENSMUSG00000053469	1.14226173762238	-0.717515950267339	-0.424745787355043
ENSMUSG00000024538	-1.15057606535771	0.659733508398313	0.490842556959393
ENSMUSG00000060572	-1.13671832514662	0.392565001814507	0.744153323332116
ENSMUSG00000006342	0.829711786018074	0.280617876522944	-1.11032966254102
ENSMUSG00000030659	-1.12221071068497	0.325558458487622	0.796652252197347
ENSMUSG00000027107	-0.890058834006453	1.08209021002482	-0.19203137601837
ENSMUSG00000052296	1.07258893525363	-0.165936894491603	-0.906652040762032
ENSMUSG00000066113	1.15226605047123	-0.511231471336052	-0.64103457913518
ENSMUSG00000025930	-1.12779478750587	0.778511437925127	0.349283349580742
ENSMUSG00000034161	-1.09267366927312	0.222997710251783	0.869675959021337
ENSMUSG00000039748	-1.12239175616498	0.796094918671554	0.32629683749343
ENSMUSG00000055937	-1.09409302637322	0.866765666868583	0.227327359504637
ENSMUSG00000036777	-0.785120517518681	1.12583328412465	-0.340712766605973
ENSMUSG00000094777	-0.947193598158551	1.04553929243468	-0.0983456942761265
ENSMUSG00000024922	-1.15445737595719	0.597750026227625	0.556707349729564
ENSMUSG00000026278	-0.683346035008484	1.14776150354572	-0.464415468537233
ENSMUSG00000025092	1.01566528074003	-0.983561584333339	-0.0321036964066922
ENSMUSG00000035199	-0.89461713875194	1.07956257789507	-0.184945439143128
ENSMUSG00000001403	-0.954760661239795	1.03980726792972	-0.0850466066899294
ENSMUSG00000037443	-0.886547383485595	-0.197448793133559	1.08399617661916
ENSMUSG00000037820	0.860825234589918	0.236096899981364	-1.09692213457128
ENSMUSG00000025324	1.13009345071569	-0.770391787356252	-0.35970166335944
ENSMUSG00000020218	-1.14746498542372	0.685504942000159	0.461960043423561
ENSMUSG00000017631	1.14993769949978	-0.484235914980479	-0.665701784519296
ENSMUSG00000037138	0.537435229983987	-1.15380096145098	0.616365731466996
ENSMUSG00000054675	-1.15061596375286	0.491271216304433	0.65934474744843
ENSMUSG00000027239	-1.09611977607285	0.862529405440751	0.233590370632093
ENSMUSG00000016128	1.08307384467599	-0.888254797899777	-0.194819046776211
ENSMUSG00000021994	-1.10488979036092	0.261904169348176	0.842985621012745
ENSMUSG00000032218	-0.836276468683589	1.10768971968903	-0.271413251005442
ENSMUSG00000017716	-0.706254305876837	1.14426787466422	-0.438013568787381
ENSMUSG00000027326	-0.975369391410458	1.02293315457708	-0.0475637631666241
ENSMUSG00000083405	1.05134160548803	-0.1121364977252	-0.939205107762826
ENSMUSG00000024049	1.07791623675645	-0.180388125346731	-0.897528111409722
ENSMUSG00000040152	0.799118167885836	-1.12140229082104	0.322284122935201
ENSMUSG00000042436	-1.14103068490304	0.417098485221695	0.723932199681344
ENSMUSG00000040204	-1.07955808297092	0.894625147733097	0.184932935237828
ENSMUSG00000020357	0.825891706725953	-1.11182149793143	0.285929791205478
ENSMUSG00000049517	-1.10966599406651	0.831385046762219	0.278280947304289
ENSMUSG00000030732	0.175610609560219	-1.07617299210979	0.900562382549569
ENSMUSG00000003660	1.14409726957114	-0.707256172740704	-0.436841096830443
ENSMUSG00000015880	-0.953666995563188	1.0406503529572	-0.0869833573940133
ENSMUSG00000025140	-1.13940597562544	0.40748240640647	0.731923569218969
ENSMUSG00000033792	1.06993552435112	-0.911037543331431	-0.158897981019682
ENSMUSG00000021823	1.15400751049514	-0.542362749335434	-0.611644761159711
ENSMUSG00000035557	-1.11026906563464	0.829865221712977	0.280403843921666
ENSMUSG00000001131	-1.12174725198845	0.323676815323707	0.798070436664745
ENSMUSG00000030677	-0.908915067619266	1.0712273854488	-0.162312317829534
ENSMUSG00000038170	1.15088598195927	-0.656659321832672	-0.494226660126598
ENSMUSG00000090035	1.15470028423154	-0.576686668903331	-0.578013615328207
ENSMUSG00000041347	-1.08916701113689	0.876677492849686	0.212489518287202
ENSMUSG00000049516	1.14996152823811	-0.665486911309223	-0.484474616928878
ENSMUSG00000029313	1.12138180947736	-0.799180166614257	-0.322201642863106
ENSMUSG00000079523	-1.04580734950478	0.946832018687237	0.0989753308175426
ENSMUSG00000022371	-1.15463018062571	0.566276091663437	0.588354088962272
ENSMUSG00000005611	1.10168897187168	-0.251326444839421	-0.850362527032259
ENSMUSG00000040433	1.07995011959005	-0.893925345001977	-0.186024774588071
ENSMUSG00000023505	-0.883208874160907	1.08577565923538	-0.20256678507447
ENSMUSG00000029380	-1.06919372673965	0.912245616876883	0.156948109862769
ENSMUSG00000032518	-1.13596383364381	0.747396594287097	0.388567239356716
ENSMUSG00000039959	1.14919130600341	-0.672163612161658	-0.477027693841747
