userId	geneSymbol	geneName	entrezgene	gLink
Dbh	Dbh	dopamine beta hydroxylase	13166	https://www.ncbi.nlm.nih.gov/gene/?term=13166
Scn4a	Scn4a	sodium channel, voltage-gated, type IV, alpha	110880	https://www.ncbi.nlm.nih.gov/gene/?term=110880
Hck	Hck	hemopoietic cell kinase	15162	https://www.ncbi.nlm.nih.gov/gene/?term=15162
Col5a3	Col5a3	collagen, type V, alpha 3	53867	https://www.ncbi.nlm.nih.gov/gene/?term=53867
Fam163b	Fam163b	family with sequence similarity 163, member B	109349	https://www.ncbi.nlm.nih.gov/gene/?term=109349
Arnt2	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	11864	https://www.ncbi.nlm.nih.gov/gene/?term=11864
Ccl6	Ccl6	chemokine (C-C motif) ligand 6	20305	https://www.ncbi.nlm.nih.gov/gene/?term=20305
Ptger1	Ptger1	prostaglandin E receptor 1 (subtype EP1)	19216	https://www.ncbi.nlm.nih.gov/gene/?term=19216
Slc35e1	Slc35e1	solute carrier family 35, member E1	270066	https://www.ncbi.nlm.nih.gov/gene/?term=270066
Flt4	Flt4	FMS-like tyrosine kinase 4	14257	https://www.ncbi.nlm.nih.gov/gene/?term=14257
Havcr2	Havcr2	hepatitis A virus cellular receptor 2	171285	https://www.ncbi.nlm.nih.gov/gene/?term=171285
Fam107a	Fam107a	family with sequence similarity 107, member A	268709	https://www.ncbi.nlm.nih.gov/gene/?term=268709
Dct	Dct	dopachrome tautomerase	13190	https://www.ncbi.nlm.nih.gov/gene/?term=13190
Fyb	Fyb	FYN binding protein	23880	https://www.ncbi.nlm.nih.gov/gene/?term=23880
Adcy8	Adcy8	adenylate cyclase 8	11514	https://www.ncbi.nlm.nih.gov/gene/?term=11514
Mapk8ip3	Mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3	30957	https://www.ncbi.nlm.nih.gov/gene/?term=30957
Nudt12	Nudt12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	67993	https://www.ncbi.nlm.nih.gov/gene/?term=67993
Vldlr	Vldlr	very low density lipoprotein receptor	22359	https://www.ncbi.nlm.nih.gov/gene/?term=22359
