term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0042534,"regulation of tumor necrosis factor biosynthetic process",0.095%, 4.517,-3.097,1.322,-3.3202,0.706,0.000,42534,0
GO:0042535,"positive regulation of tumor necrosis factor biosynthetic process",0.062%,null,null,1.146,-3.6109,0.674,0.969,42534,1
GO:0032760,"positive regulation of tumor necrosis factor production",0.304%,null,null,1.813,-2.0569,0.706,0.817,42534,1
GO:0045414,"regulation of interleukin-8 biosynthetic process",0.057%,null,null,1.114,-1.4507,0.717,0.963,42534,1
GO:0045416,"positive regulation of interleukin-8 biosynthetic process",0.038%,null,null,0.954,-1.6243,0.686,0.721,42534,1
GO:0032611,"interleukin-1 beta production",0.256%,null,null,1.740,-1.5738,0.798,0.932,42534,1
GO:0032647,"regulation of interferon-alpha production",0.104%,null,null,1.362,-1.3283,0.774,0.550,42534,1
GO:0032655,"regulation of interleukin-12 production",0.242%,null,null,1.716,-2.3564,0.757,0.546,42534,1
GO:0042108,"positive regulation of cytokine biosynthetic process",0.294%,null,null,1.799,-2.1928,0.647,0.836,42534,1
GO:0001818,"negative regulation of cytokine production",1.011%,null,null,2.330,-1.3650,0.670,0.668,42534,1
GO:0032695,"negative regulation of interleukin-12 production",0.085%,null,null,1.279,-1.4507,0.715,0.907,42534,1
GO:0032732,"positive regulation of interleukin-1 production",0.142%,null,null,1.491,-1.4507,0.713,0.890,42534,1
GO:0050702,"interleukin-1 beta secretion",0.142%,null,null,1.491,-1.6243,0.712,0.507,42534,1
GO:0050701,"interleukin-1 secretion",0.161%,null,null,1.544,-1.5738,0.710,0.890,42534,1
GO:0072423,"response to DNA damage checkpoint signaling",0.028%, 0.395, 5.379,0.845,-1.7479,0.923,0.009,72423,0
GO:0031663,"lipopolysaccharide-mediated signaling pathway",0.237%,null,null,1.708,-1.3283,0.816,0.655,72423,1
GO:0060192,"negative regulation of lipase activity",0.071%,-0.872, 0.126,1.204,-1.6243,0.933,0.033,60192,0
GO:0002696,"positive regulation of leukocyte activation",1.880%, 5.878, 2.345,2.599,-2.9856,0.714,0.057,2696,0
GO:0045671,"negative regulation of osteoclast differentiation",0.119%,null,null,1.415,-2.8818,0.672,0.501,2696,1
GO:0045670,"regulation of osteoclast differentiation",0.313%,null,null,1.826,-2.2589,0.712,0.867,2696,1
GO:0002698,"negative regulation of immune effector process",0.532%,null,null,2.053,-1.3283,0.756,0.654,2696,1
GO:0050867,"positive regulation of cell activation",1.923%,null,null,2.609,-1.5738,0.789,0.870,2696,1
GO:0002762,"negative regulation of myeloid leukocyte differentiation",0.209%,null,null,1.653,-2.5287,0.660,0.864,2696,1
