term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0033630,"positive regulation of cell adhesion mediated by integrin",0.081%, 3.539,-6.144,1.255,-3.5000,0.859,0.000,33630,0
GO:0033628,"regulation of cell adhesion mediated by integrin",0.166%,null,null,1.556,-2.5029,0.888,0.886,33630,1
GO:0045785,"positive regulation of cell adhesion",1.681%,null,null,2.550,-2.4366,0.831,0.612,33630,1
GO:0050667,"homocysteine metabolic process",0.052%,-2.561,-6.331,1.079,-4.1209,0.852,0.000,50667,0
GO:0000096,"sulfur amino acid metabolic process",0.161%,null,null,1.544,-2.8988,0.853,0.618,50667,1
GO:1901605,"alpha-amino acid metabolic process",0.931%,null,null,2.294,-2.4618,0.818,0.778,50667,1
GO:0050918,"positive chemotaxis",0.271%,-5.820, 2.746,1.763,-4.7055,0.844,0.000,50918,0
GO:0050921,"positive regulation of chemotaxis",0.589%,null,null,2.097,-1.9296,0.730,0.912,50918,1
GO:0030334,"regulation of cell migration",3.205%,null,null,2.830,-3.5062,0.704,0.522,50918,1
GO:0030335,"positive regulation of cell migration",1.866%,null,null,2.595,-1.6484,0.678,0.970,50918,1
GO:0030336,"negative regulation of cell migration",1.007%,null,null,2.328,-1.4971,0.703,0.813,50918,1
GO:0002690,"positive regulation of leukocyte chemotaxis",0.385%,null,null,1.914,-1.6516,0.645,0.888,50918,1
GO:0002688,"regulation of leukocyte chemotaxis",0.489%,null,null,2.017,-2.5029,0.668,0.746,50918,1
GO:0002687,"positive regulation of leukocyte migration",0.556%,null,null,2.072,-2.3469,0.685,0.919,50918,1
GO:1902285,"semaphorin-plexin signaling pathway involved in neuron projection guidance",0.028%,null,null,0.845,-2.1543,0.687,0.810,50918,1
GO:1902287,"semaphorin-plexin signaling pathway involved in axon guidance",0.024%,null,null,0.778,-2.4788,0.688,0.512,50918,1
GO:2000147,"positive regulation of cell motility",1.937%,null,null,2.612,-2.0593,0.678,0.886,50918,1
GO:0001755,"neural crest cell migration",0.185%,null,null,1.602,-1.5107,0.721,0.559,50918,1
GO:0014032,"neural crest cell development",0.309%,null,null,1.820,-1.3331,0.794,0.942,50918,1
GO:0051303,"establishment of chromosome localization",0.332%,-6.176,-2.092,1.851,-3.6016,0.853,0.000,51303,0
GO:0007080,"mitotic metaphase plate congression",0.190%,null,null,1.613,-3.0787,0.637,0.948,51303,1
GO:0051294,"establishment of spindle orientation",0.109%,null,null,1.380,-1.7465,0.693,0.957,51303,1
GO:0051310,"metaphase plate congression",0.237%,null,null,1.708,-3.0406,0.717,0.966,51303,1
GO:0051315,"attachment of mitotic spindle microtubules to kinetochore",0.047%,null,null,1.041,-2.3004,0.668,0.849,51303,1
GO:0000132,"establishment of mitotic spindle orientation",0.090%,null,null,1.301,-2.0901,0.692,0.943,51303,1
GO:0040001,"establishment of mitotic spindle localization",0.104%,null,null,1.362,-3.1620,0.689,0.630,51303,1
GO:0003009,"skeletal muscle contraction",0.166%, 1.999, 7.139,1.556,-3.1620,0.892,0.020,3009,0
GO:0006941,"striated muscle contraction",0.717%,null,null,2.182,-1.6516,0.923,0.760,3009,1
GO:0006936,"muscle contraction",1.273%,null,null,2.430,-1.3305,0.921,0.869,3009,1
GO:0001508,"action potential",0.575%,-1.330,-0.577,2.086,-1.7916,0.910,0.038,1508,0
GO:0019228,"neuronal action potential",0.166%,null,null,1.556,-1.6712,0.852,0.681,1508,1
GO:0030198,"extracellular matrix organization",1.030%, 6.962,-0.310,2.338,-4.0227,0.826,0.065,30198,0
GO:0030199,"collagen fibril organization",0.190%,null,null,1.613,-1.4825,0.823,0.834,30198,1
