term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0048666,"neuron development",4.768%, 6.281,-2.902,3.002,-2.1816,0.764,0.000,48666,0
GO:0010466,"negative regulation of peptidase activity",1.344%, 3.641, 5.238,2.453,-1.9292,0.740,0.019,10466,0
GO:0010951,"negative regulation of endopeptidase activity",1.277%,null,null,2.431,-1.6893,0.741,0.923,10466,1
GO:0052548,"regulation of endopeptidase activity",1.928%,null,null,2.610,-1.8527,0.777,0.920,10466,1
GO:0006610,"ribosomal protein import into nucleus",0.038%,-5.382,-4.860,0.954,-1.7350,0.844,0.026,6610,0
GO:0046598,"positive regulation of viral entry into host cell",0.033%,-7.125, 1.628,0.903,-1.6776,0.866,0.051,46598,0
GO:0098976,"excitatory chemical synaptic transmission",0.005%,-1.277,-1.128,0.301,-1.7350,0.890,0.060,98976,0
GO:0090527,"actin filament reorganization",0.028%, 1.082,-7.577,0.845,-1.6270,0.907,0.070,90527,0
GO:0050678,"regulation of epithelial cell proliferation",1.429%, 1.629,-5.293,2.480,-1.8056,0.873,0.073,50678,0
GO:0050680,"negative regulation of epithelial cell proliferation",0.594%,null,null,2.100,-1.8774,0.847,0.850,50678,1
GO:0000086,"G2/M transition of mitotic cell cycle",0.461%, 1.354,-0.332,1.991,-1.3561,0.919,0.093,86,0
GO:0044839,"cell cycle G2/M phase transition",0.494%,null,null,2.021,-1.3500,0.890,0.757,86,1
GO:0048011,"neurotrophin TRK receptor signaling pathway",0.138%,-1.293, 2.506,1.477,-1.6270,0.856,0.095,48011,0
GO:0030311,"poly-N-acetyllactosamine biosynthetic process",0.024%,-1.040, 5.558,0.778,-1.6270,0.830,0.097,30311,0
GO:0033692,"cellular polysaccharide biosynthetic process",0.247%,null,null,1.724,-1.3081,0.818,0.812,30311,1
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.171%,-0.392, 6.765,1.568,-1.4487,0.876,0.116,184,0
GO:0051290,"protein heterotetramerization",0.100%,-1.225,-3.747,1.342,-1.3081,0.932,0.126,51290,0
GO:0007205,"protein kinase C-activating G-protein coupled receptor signaling pathway",0.095%,-3.164, 0.682,1.322,-1.5038,0.892,0.127,7205,0
GO:1901798,"positive regulation of signal transduction by p53 class mediator",0.114%,-6.478, 1.010,1.398,-1.3553,0.863,0.156,1901798,0
GO:0048227,"plasma membrane to endosome transport",0.033%,-2.487,-7.262,0.903,-1.6776,0.897,0.157,48227,0
GO:0090257,"regulation of muscle system process",0.897%, 3.717,-2.735,2.279,-1.6270,0.854,0.160,90257,0
GO:0015693,"magnesium ion transport",0.071%,-3.848,-5.697,1.204,-1.5410,0.900,0.165,15693,0
GO:0009249,"protein lipoylation",0.014%, 5.820, 4.411,0.602,-1.6776,0.900,0.181,9249,0
GO:0046339,"diacylglycerol metabolic process",0.081%, 3.624, 1.076,1.255,-1.4696,0.884,0.183,46339,0
GO:0018065,"protein-cofactor linkage",0.028%, 4.916, 4.702,0.845,-1.5818,0.897,0.191,18065,0
GO:1903426,"regulation of reactive oxygen species biosynthetic process",0.323%, 1.536, 6.330,1.839,-1.3811,0.866,0.195,1903426,0
