term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0010466,"negative regulation of peptidase activity",1.344%, 5.493,-1.159,2.453,-5.2069,0.737,0.000,10466,0
GO:0010951,"negative regulation of endopeptidase activity",1.277%,null,null,2.431,-4.5850,0.738,0.923,10466,1
GO:0052548,"regulation of endopeptidase activity",1.928%,null,null,2.610,-5.0083,0.790,0.920,10466,1
GO:2000059,"negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.071%,null,null,1.204,-4.9393,0.744,0.693,10466,1
GO:2000058,"regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.152%,null,null,1.519,-3.8132,0.769,0.727,10466,1
GO:1902373,"negative regulation of mRNA catabolic process",0.033%,null,null,0.903,-1.6031,0.780,0.715,10466,1
GO:1903321,"negative regulation of protein modification by small protein conjugation or removal",0.366%,null,null,1.892,-1.7957,0.765,0.748,10466,1
GO:0051336,"regulation of hydrolase activity",5.883%,null,null,3.093,-1.3506,0.890,0.574,10466,1
GO:1903051,"negative regulation of proteolysis involved in cellular protein catabolic process",0.214%,null,null,1.663,-4.1805,0.750,0.888,10466,1
GO:1904667,"negative regulation of ubiquitin protein ligase activity",0.038%,null,null,0.954,-2.3788,0.780,0.806,10466,1
GO:1904666,"regulation of ubiquitin protein ligase activity",0.076%,null,null,1.230,-3.3357,0.807,0.845,10466,1
GO:0031397,"negative regulation of protein ubiquitination",0.323%,null,null,1.839,-2.9155,0.760,0.866,10466,1
GO:0051444,"negative regulation of ubiquitin-protein transferase activity",0.076%,null,null,1.230,-4.7033,0.770,0.792,10466,1
GO:0044320,"cellular response to leptin stimulus",0.076%, 4.323, 0.098,1.230,-1.5371,0.930,0.012,44320,0
GO:0033210,"leptin-mediated signaling pathway",0.047%,null,null,1.041,-1.4800,0.885,0.937,44320,1
GO:0006613,"cotranslational protein targeting to membrane",0.085%,-2.312, 6.848,1.279,-4.3458,0.849,0.013,6613,0
GO:0045047,"protein targeting to ER",0.114%,null,null,1.398,-4.2588,0.934,0.505,6613,1
GO:0006614,"SRP-dependent cotranslational protein targeting to membrane",0.071%,null,null,1.204,-4.4377,0.845,0.943,6613,1
