Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0001968~fibronectin binding	3	6.666666666666667	0.0015343715017137954	MMP9, MMP13, MYOC	36	29	17446	50.132183908045974	0.1631611695112376	0.1631611695112376	1.736626240982475
GOTERM_MF_DIRECT	GO:0004222~metalloendopeptidase activity	4	8.88888888888889	0.0018984353714161012	MMP10, MMP9, MMP3, MMP13	36	123	17446	15.759710930442635	0.19782444881686212	0.10435746461931705	2.1446197019499236
GOTERM_MF_DIRECT	GO:0008237~metallopeptidase activity	4	8.88888888888889	0.003995262017965033	MMP10, MMP9, MMP3, MMP13	36	160	17446	12.115277777777777	0.3714744945165783	0.143407432073679	4.464526443430705
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	4	8.88888888888889	0.008697604598468632	CORIN, MMP9, MMP3, MMP13	36	212	17446	9.143605870020965	0.6369937925777012	0.2237912879477536	9.485807689899673
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	4	8.88888888888889	0.00892294255450429	CCL8, GREM2, SPP1, IL11	36	214	17446	9.058151609553478	0.6464417010660606	0.1877453483751489	9.720269545517624
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	6	13.333333333333334	0.01220200153834521	S100A4, MATN3, MMP10, MMP3, MMP13, PLA2G5	36	699	17446	4.159752026704816	0.7592842802423476	0.21128988832130913	13.069986907465825
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	7	15.555555555555555	0.01884270323763686	VAT1L, MMP10, NRAP, MMP9, RARB, MMP3, MMP13	36	1075	17446	3.155607235142119	0.8899266945905362	0.27037882469710384	19.50896005806415
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	5	11.11111111111111	0.019180544985088952	MMP10, CORIN, MMP9, MMP3, MMP13	36	516	17446	4.6958440999138675	0.8942373517997856	0.2448355455090241	19.824595044151017
GOTERM_MF_DIRECT	GO:0001972~retinoic acid binding	2	4.444444444444445	0.025777600371833128	CRABP1, CYP26A1	36	13	17446	74.55555555555556	0.9516561925834841	0.28580689986409513	25.766090675745414
GOTERM_MF_DIRECT	GO:0008201~heparin binding	3	6.666666666666667	0.03675115451677483	CCL8, GREM2, PLA2G5	36	151	17446	9.6280353200883	0.9870083093767047	0.35231093183859474	34.765805479422255
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	12	26.666666666666668	0.05874206185600477	S100A4, MMP10, FAN1, NRAP, MMP9, CYP26A1, LOXL4, RARB, MMP3, MMP13, MYOC, PLA2G5	36	3355	17446	1.7333333333333332	0.9991083311056772	0.47186398605057445	49.87590777263174
GOTERM_MF_DIRECT	GO:0001105~RNA polymerase II transcription coactivator activity	2	4.444444444444445	0.07912508124110997	ANKRD1, CITED1	36	41	17446	23.639566395663955	0.9999296482722454	0.5492460263398754	60.954472330121476
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	7	15.555555555555555	0.08203498537464074	MMP10, FAN1, CORIN, MMP9, MMP3, MMP13, PLA2G5	36	1533	17446	2.212836123795028	0.999951266113284	0.5340978698282255	62.339186858710846
GOTERM_MF_DIRECT	GO:0005044~scavenger receptor activity	2	4.444444444444445	0.09201196795866919	CORIN, LOXL4	36	48	17446	20.19212962962963	0.9999862818858881	0.5505681085226599	66.75369917000596
